runId,candidateSetHash,action,legacyId,managerName,fundName,field,before,after,confidence,evidenceUrls
2026-08-02-lineage-additions,a900f47c3985e59719c9b664d3ee368af3a024e100f8fb9221b8b9cfe1ff29c4,CREATE,FUND-151,Antin Infrastructure Partners,Antin Mid Cap Fund II,fundName,null,"""Antin Mid Cap Fund II""",HIGH,https://www.antin-ip.com/wp-content/uploads/2025/12/Antin-FY25-Results-Transcript-1.pdf; https://www.antin-ip.com/wp-content/uploads/2026/05/Antin-1Q26-Activity-Update-PR-VF.pdf
2026-08-02-lineage-additions,a900f47c3985e59719c9b664d3ee368af3a024e100f8fb9221b8b9cfe1ff29c4,CREATE,FUND-151,Antin Infrastructure Partners,Antin Mid Cap Fund II,fundStatus,null,"""Raising""",HIGH,https://www.antin-ip.com/wp-content/uploads/2025/12/Antin-FY25-Results-Transcript-1.pdf; https://www.antin-ip.com/wp-content/uploads/2026/05/Antin-1Q26-Activity-Update-PR-VF.pdf
2026-08-02-lineage-additions,a900f47c3985e59719c9b664d3ee368af3a024e100f8fb9221b8b9cfe1ff29c4,CREATE,FUND-151,Antin Infrastructure Partners,Antin Mid Cap Fund II,investmentStrategy,null,"""Second dedicated mid cap infrastructure fund pursuing Antin's established-company strategy across Europe and North America through smaller and medium-sized equity investments in energy and environment, digital, transportation, and social infrastructure.""",HIGH,https://www.antin-ip.com/who-we-are/strategies/mid-cap
2026-08-02-lineage-additions,a900f47c3985e59719c9b664d3ee368af3a024e100f8fb9221b8b9cfe1ff29c4,CREATE,FUND-151,Antin Infrastructure Partners,Antin Mid Cap Fund II,legacyId,null,"""FUND-151""",HIGH,
2026-08-02-lineage-additions,a900f47c3985e59719c9b664d3ee368af3a024e100f8fb9221b8b9cfe1ff29c4,CREATE,FUND-151,Antin Infrastructure Partners,Antin Mid Cap Fund II,managerName,null,"""Antin Infrastructure Partners""",HIGH,https://www.antin-ip.com/who-we-are/strategies/mid-cap; https://www.antin-ip.com/wp-content/uploads/2025/12/Antin-FY25-Results-Transcript-1.pdf; https://www.antin-ip.com/wp-content/uploads/2026/05/Antin-1Q26-Activity-Update-PR-VF.pdf
2026-08-02-lineage-additions,a900f47c3985e59719c9b664d3ee368af3a024e100f8fb9221b8b9cfe1ff29c4,CREATE,FUND-151,Antin Infrastructure Partners,Antin Mid Cap Fund II,regions,null,"[""Europe"",""North America""]",HIGH,https://www.antin-ip.com/who-we-are/strategies/mid-cap
2026-08-02-lineage-additions,a900f47c3985e59719c9b664d3ee368af3a024e100f8fb9221b8b9cfe1ff29c4,CREATE,FUND-151,Antin Infrastructure Partners,Antin Mid Cap Fund II,sectors,null,"[""Digital"",""Power & ET"",""Social Infra"",""Transportation""]",HIGH,https://www.antin-ip.com/who-we-are/strategies/mid-cap
2026-08-02-lineage-additions,a900f47c3985e59719c9b664d3ee368af3a024e100f8fb9221b8b9cfe1ff29c4,CREATE,FUND-151,Antin Infrastructure Partners,Antin Mid Cap Fund II,size,null,"""€2.5B target""",HIGH,https://www.antin-ip.com/wp-content/uploads/2025/12/Antin-FY25-Results-Transcript-1.pdf
2026-08-02-lineage-additions,a900f47c3985e59719c9b664d3ee368af3a024e100f8fb9221b8b9cfe1ff29c4,CREATE,FUND-151,Antin Infrastructure Partners,Antin Mid Cap Fund II,sizeAsOf,null,"""2026-03-12""",HIGH,https://www.antin-ip.com/wp-content/uploads/2025/12/Antin-FY25-Results-Transcript-1.pdf
2026-08-02-lineage-additions,a900f47c3985e59719c9b664d3ee368af3a024e100f8fb9221b8b9cfe1ff29c4,CREATE,FUND-151,Antin Infrastructure Partners,Antin Mid Cap Fund II,sizeBasis,null,"""TARGET""",HIGH,https://www.antin-ip.com/wp-content/uploads/2025/12/Antin-FY25-Results-Transcript-1.pdf
